epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2673,1.20969,3.09798,1.70282,0.0033,1,0.46934,0.21212,1.40572,3.85989,2.35769,6.668e-05,6.668e-05,6.668e-05
2,51.4984,1.04735,2.67815,1.42409,0.00335,1,0.67743,0.38786,1.17482,3.60937,1.78128,0.000147059,0.000147059,0.000147059
3,77.4439,1.00247,2.12906,1.40115,0.00361,1,0.77576,0.40622,1.44598,3.41013,1.98374,0.000224138,0.000224138,0.000224138
4,97.4307,1.02207,1.60579,1.38809,0.00344,1,0.84122,0.53092,1.23909,3.20327,1.81065,0.000297916,0.000297916,0.000297916
5,117.939,1.05843,1.40539,1.40524,0.5313,1,0.971,0.58888,1.30763,3.22995,1.84549,0.000368394,0.000368394,0.000368394
6,137.688,0.99734,1.36831,1.37046,1,0.47777,0.95169,0.52959,1.37042,3.11004,1.99772,0.00043557,0.00043557,0.00043557
7,160.123,1.11639,1.36349,1.42212,1,0.50786,0.93558,0.53552,1.321,3.09583,2.06486,0.000499447,0.000499447,0.000499447
8,180.344,0.99954,1.33108,1.38714,0.94339,0.65119,0.95725,0.62885,1.34798,3.10867,1.93503,0.000560022,0.000560022,0.000560022
9,210.58,1.03893,1.27998,1.33957,0.90662,0.75366,0.96102,0.639,1.28588,3.08461,1.77275,0.000617297,0.000617297,0.000617297
10,233.634,1.00273,1.21016,1.31777,0.88683,1,0.96308,0.62937,1.24166,2.76828,1.74245,0.000671271,0.000671271,0.000671271
11,256.435,0.98254,1.09438,1.30755,0.94821,0.98692,0.995,0.66178,1.29871,2.40357,1.90205,0.000721944,0.000721944,0.000721944
12,277.323,1.02999,1.16863,1.34116,0.73472,0.91667,0.947,0.57446,1.37483,2.75005,1.75524,0.000769317,0.000769317,0.000769317
13,298.935,1.04189,1.18808,1.36641,0.81718,0.97736,0.94814,0.52713,1.46501,2.99062,1.82968,0.000813389,0.000813389,0.000813389
14,322.545,1.03343,1.2683,1.36662,0.96261,1,0.995,0.70309,1.20108,2.29935,1.67574,0.000854161,0.000854161,0.000854161
15,352.01,1.03523,1.28183,1.3887,0.9062,0.9254,0.995,0.66026,1.28984,2.45972,1.89453,0.000891632,0.000891632,0.000891632
16,379.83,0.96427,1.15339,1.26713,0.72265,0.90454,0.9731,0.64837,1.38919,2.68414,2.09795,0.000925802,0.000925802,0.000925802
17,407.34,0.94686,1.03943,1.29868,0.63722,0.84711,0.9754,0.6513,1.34454,2.49945,1.98138,0.000956671,0.000956671,0.000956671
18,433.34,0.94235,0.96414,1.25403,0.71757,0.71743,0.96777,0.53964,1.48579,2.53386,2.11724,0.00098424,0.00098424,0.00098424
19,463.02,0.972,1.071,1.32375,0.87039,0.71363,0.975,0.45094,1.90436,2.80112,2.49438,0.00100851,0.00100851,0.00100851
20,485.682,0.99609,1.02712,1.28007,0.89725,0.87745,0.98111,0.61049,1.36381,2.45762,1.86112,0.00102948,0.00102948,0.00102948
21,510.88,0.97964,1.01539,1.32425,0.92148,0.95895,0.995,0.65732,1.3146,2.04007,1.84016,0.00100687,0.00100687,0.00100687
22,534.596,0.92048,0.98663,1.23927,0.98336,1,0.995,0.65381,1.26795,1.76376,1.82467,0.000973861,0.000973861,0.000973861
23,565.858,0.94637,0.98152,1.25868,0.99303,0.95983,0.995,0.69467,1.20351,1.69629,1.7914,0.000940855,0.000940855,0.000940855
24,587.045,0.96513,0.93553,1.27118,0.97989,1,0.995,0.72347,1.14798,1.62762,1.73338,0.000907848,0.000907848,0.000907848
25,612.217,0.98585,0.90162,1.2697,0.98888,0.99122,0.995,0.70948,1.2366,1.84812,1.79389,0.000874842,0.000874842,0.000874842
26,641.824,0.95535,0.92036,1.28721,0.98799,1,0.995,0.72588,1.16084,1.67732,1.67044,0.000841835,0.000841835,0.000841835
27,662.007,0.97031,0.92476,1.33246,0.96659,1,0.995,0.73072,1.11112,1.54268,1.60788,0.000808828,0.000808828,0.000808828
28,681.533,1.0082,0.98071,1.34823,0.97584,1,0.995,0.72671,1.07444,1.27008,1.58822,0.000775822,0.000775822,0.000775822
29,701.989,0.91238,0.89599,1.20248,0.98221,1,0.995,0.6844,1.15602,1.25119,1.68666,0.000742815,0.000742815,0.000742815
30,721.921,0.98489,0.91746,1.2846,0.9835,1,0.995,0.66759,1.25805,1.24704,1.78972,0.000709809,0.000709809,0.000709809
31,743.924,0.94348,0.85479,1.24559,0.98824,1,0.995,0.67434,1.26674,1.25373,1.79873,0.000676802,0.000676802,0.000676802
32,765.678,0.80469,0.77528,1.16741,0.99418,1,0.995,0.69122,1.20372,1.3227,1.68924,0.000643795,0.000643795,0.000643795
33,785.326,0.89617,0.80502,1.245,0.99228,1,0.995,0.70945,1.13844,1.27695,1.64921,0.000610789,0.000610789,0.000610789
34,805.032,0.8884,0.81574,1.21554,0.99163,1,0.995,0.72928,1.11644,1.3085,1.65818,0.000577782,0.000577782,0.000577782
35,824.747,0.89963,0.79836,1.2076,0.98979,1,0.995,0.71715,1.11457,1.25707,1.65557,0.000544776,0.000544776,0.000544776
36,845.068,0.90593,0.83816,1.22723,0.98641,1,0.995,0.73137,1.05651,1.17167,1.61225,0.000511769,0.000511769,0.000511769
