epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,865.229,0.86075,0.81873,1.24305,0.9848,1,0.995,0.74009,1.04561,1.13519,1.6198,0.000478762,0.000478762,0.000478762
38,885.066,0.90294,0.78589,1.24115,0.98305,1,0.995,0.75497,1.01878,1.15267,1.58464,0.000445756,0.000445756,0.000445756
39,906.448,0.88671,0.79387,1.21949,0.98353,1,0.995,0.75343,1.01388,1.1613,1.55796,0.000412749,0.000412749,0.000412749
40,927.599,0.92575,0.82599,1.25509,0.98714,1,0.995,0.70291,1.09101,1.16495,1.66714,0.000379743,0.000379743,0.000379743
41,947.917,0.81032,1.13704,1.31231,0.98335,1,0.995,0.68762,1.14503,1.19875,1.71417,0.000346736,0.000346736,0.000346736
42,968.117,0.76306,1.07898,1.25831,0.97257,1,0.995,0.71158,1.14216,1.26909,1.72669,0.000313729,0.000313729,0.000313729
43,987.978,0.74074,1.03243,1.2226,0.96528,1,0.995,0.70604,1.16713,1.36237,1.72555,0.000280723,0.000280723,0.000280723
44,1008.44,0.74572,1.05094,1.31536,0.97588,1,0.995,0.70443,1.10978,1.35437,1.61597,0.000247716,0.000247716,0.000247716
45,1028.52,0.69553,1.01507,1.21434,0.98629,1,0.995,0.71759,1.08941,1.27679,1.60726,0.00021471,0.00021471,0.00021471
46,1048.77,0.74476,0.9707,1.25746,0.99321,1,0.995,0.71341,1.09555,1.19869,1.61643,0.000181703,0.000181703,0.000181703
47,1069,0.74758,0.94348,1.28764,0.99225,1,0.995,0.70966,1.08745,1.16335,1.61363,0.000148696,0.000148696,0.000148696
48,1088.98,0.70595,0.95044,1.29601,0.99158,1,0.995,0.74385,1.05761,1.12746,1.58114,0.00011569,0.00011569,0.00011569
49,1108.4,0.72177,0.94968,1.29762,0.99285,1,0.995,0.7356,1.05517,1.11603,1.58257,8.26832e-05,8.26832e-05,8.26832e-05
50,1128.65,0.65171,0.90344,1.19091,0.9942,1,0.995,0.72457,1.06013,1.10286,1.59228,4.96766e-05,4.96766e-05,4.96766e-05
